ano,internacoes,codigo_municipio,municipio,obitos,taxa_mortalidade,populacao,fonte_populacao,internacoes_por_100k,obitos_por_100k
2022,3787,130290,Maues,99,2.6142064959070503,61204,IBGE - Censo Demografico 2022,6187.5040847003465,161.75413371675054
2022,550,130300,Nhamunda,13,2.3636363636363638,20136,IBGE - Censo Demografico 2022,2731.4263011521653,64.56098529996027
2022,1566,130310,Nova Olinda Do Norte,14,0.8939974457215836,27062,IBGE - Censo Demografico 2022,5786.711994678885,51.73305742369374
2022,1055,130320,Novo Airao,16,1.5165876777251186,15761,IBGE - Censo Demografico 2022,6693.737706998288,101.5164012435759
2022,1726,130330,Novo Aripuana,17,0.9849362688296639,23818,IBGE - Censo Demografico 2022,7246.620203207658,71.37459064573011
2022,6162,130340,Parintins,230,3.732554365465758,96372,IBGE - Censo Demografico 2022,6393.973353256133,238.65853152367907
2022,1140,130350,Pauini,17,1.4912280701754386,19373,IBGE - Censo Demografico 2022,5884.478397770093,87.75099365095751
2022,1709,130353,Presidente Figueiredo,64,3.7448800468110006,30668,IBGE - Censo Demografico 2022,5572.583800704318,208.68657884439804
2022,1047,130356,Rio Preto Da Eva,34,3.2473734479465137,24936,IBGE - Censo Demografico 2022,4198.748796920116,136.34905357715752
2022,655,130360,Santa Isabel Do Rio Negro,14,2.1374045801526718,14164,IBGE - Censo Demografico 2022,4624.39988703756,98.8421349901158
2022,1419,130370,Santo Antonio Do Ica,21,1.4799154334038054,28211,IBGE - Censo Demografico 2022,5029.952855269222,74.43904859806459
2022,2000,130380,Sao Gabriel Da Cachoeira,52,2.6,51795,IBGE - Censo Demografico 2022,3861.376580751038,100.39579109952699
2022,1790,130390,Sao Paulo De Olivenca,40,2.2346368715083798,32967,IBGE - Censo Demografico 2022,5429.672096338763,121.333454666788
2022,691,130395,Sao Sebastiao Do Uatuma,16,2.3154848046309695,11670,IBGE - Censo Demografico 2022,5921.165381319623,137.10368466152528
2022,877,130400,Silves,10,1.1402508551881414,11559,IBGE - Censo Demografico 2022,7587.161519162558,86.51267410675663
2022,2921,130406,Tabatinga,83,2.841492639507018,66764,IBGE - Censo Demografico 2022,4375.1123359894555,124.31849499730393
2022,1438,130410,Tapaua,24,1.6689847009735743,19599,IBGE - Censo Demografico 2022,7337.109036175316,122.4552273075157
2022,5171,130420,Tefe,89,1.721137110810288,73669,IBGE - Censo Demografico 2022,7019.2346848742345,120.81065305623802
2022,1357,130423,Tonantins,12,0.8843036109064112,19247,IBGE - Censo Demografico 2022,7050.4494206889385,62.34737881228243
